transcript,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
100thseminar-metagov-20231101.transcription,0.2082029876622173,0.062237263640612675,0.0,0.0,0.0,0.0,0.031141337596622284,0.0,0.0,0.0,0.0,0.0
a-rule-based-approach-to-mitigating-ai-risk-miyazono.transcription,0.002477369665457401,0.322107653118578,0.001850236913393909,0.01375304917528013,0.006049215754577191,0.0,0.0029000078818425413,0.10704564414456014,0.0,0.0,0.0010529643032443998,0.05616028497171047
aether-metagov.transcription,0.0176111205075521,0.0,0.003253360887138932,0.19723026001235378,0.26909489454118823,0.0,0.0013541828317948437,0.0,0.0,0.0,0.0,0.0
alston-metagov.transcription,0.0,0.0,0.0,0.0,0.0,0.08857654898972915,0.0,0.14951565084218155,0.04095318494753845,0.0,0.11693518631021092,0.0
amanda-kiessel-metagov.transcription,0.09072639307628622,0.001619947953963517,0.0,0.003394892527642653,0.035813020491737686,0.04306097352000995,0.0,0.014811006151706382,0.049156571900261,0.012540280196485485,0.0034635024713817143,0.1752249535536229
arch-voting-method-consensus-building-process-schikowitz.transcription,0.0230764208972978,0.0,0.028653880275383084,0.0,0.0,0.2951715831397525,0.01770067114359975,0.0,0.0,0.0,0.0,0.0
ash-metagov-20230712.transcription,0.17986846590588285,0.06422879885665171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0820643158577027,0.010133294121156258,0.006326642828994977
ashton-metagov.transcription,0.16435817174662437,0.0,0.0434842256135111,0.0,0.03399383637809088,0.0,0.0,0.011632849521081987,0.0,0.04786550840964904,0.0032833715575516374,0.0
baer-metagov.transcription,0.18053294707419948,0.0,0.01150873503588421,0.09394893809865,0.010538376854298225,0.0,0.0,0.011113203923949743,0.00729271886285591,0.018582076741341675,0.0,0.0
becker-metagov.transcription,0.023874991889025837,0.00946731092540607,0.0,0.05819944555977254,0.0,0.10341876296654029,0.005806517443033231,0.04126749962776615,0.0,0.10088173803330479,0.040369042584794686,0.013537794532544256
